New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
unclassified	unclassified	801	NSL437943	115.5	122.95	128.11	127.29	132.02	101	152	93
unclassified	unclassified	802	AMES24739	114.17	122.15	128.89	128.16	129.7	72	128	73
sweet corn	sweet corn	803	AMES22049	115.46	122.4	129.12	127.54	125.69	73	99	45
sweet corn	unclassified	804	NSL8585	114.7	122.06	127.1	128.65	120.79	71	106	26
unclassified	unclassified	805	NSL437878	114.95	121.43	130.62	131.07	133.52	87	164	80
stiff stalk	stiff stalk	806	PI601808	124.98	129.24	130.13	130.23	133.74	70	152	65
unclassified	unclassified	807	PI559945	120.08	125.35	127.96	131.68	134.52	73	145	73
unclassified	unclassified	808	AMES28928	116.16	123.85	129.35	131.22	131.08	89	185	79
unclassified	unclassified	809	PI533658	117.31	126.91	129.84	130.67	134.35	72	116	57
unclassified	unclassified	810	PI550567	115.74	123.76	128.06	126.99	123.96	72	129	57
unclassified	unclassified	811	AMES27190	116.37	124.26	128.51	131	131.83	90	142	70
unclassified	unclassified	812	AMES19002	119.46	127.31	132.09	133.53	138.5	84	153	65
unclassified	unclassified	813	AMES23922	112.61	122.39	128.08	128.87	128.64	73	148	40
popcorn	popcorn	814	PI340837	113.48	123	131.31	131.7	134.44	84	135	59
popcorn	unclassified	815	PI340872	107.03	119.32	126.9	130.8	132.7	88	141	85
stiff stalk	stiff stalk	816	PI601378	118.08	125.08	129.13	129.63	126.14	72	120	49
stiff stalk	stiff stalk	817	PI601190	118.12	125.36	130.21	130.25	129.85	70	121	59
popcorn	unclassified	818	PI542716	113.71	122.22	128.11	130.54	134.82	83	161	103
unclassified	unclassified	819	PI558517	112.7	122.75	130.19	134.71	132.41	92	150	67
stiff stalk	stiff stalk	820	PI601442	115.46	122.47	125.38	129.38	130.5	76	152	73
stiff stalk	stiff stalk	821	AMES23503	121.79	127.74	128.69	130.53	131.18	75	172	86
stiff stalk	stiff stalk	822	PI601493	116.55	123.63	128.83	126.08	126.27	70	140	68
unclassified	unclassified	823	AMES23468	119.06	127.69	128.19	131.45	132.08	72	162	78
unclassified	unclassified	824	AMES24710	113.53	121.08	127.55	130.33	128.45	82	138	71
unclassified	unclassified	825	NSL30908	115.39	122.58	129.59	131.71	133.95	78	70	16
